Name,Code,Price,PER,PBR,PSR,Year
메타바이오메드,059210,"2,835",NAN,NAN,NAN,2020
멕아이씨에스,058110,"36,850",5.74,NAN,2.06,2020
모두투어,080160,"11,600",-9.25,1.75,3.0,2020
무림SP,001810,"2,165",NAN,NAN,NAN,2020
미래에셋대우스팩3호,328380,"2,005",NAN,NAN,NAN,2020
미래에셋벤처투자,100790,"3,445",NAN,NAN,NAN,2020
미코,059090,"17,850",NAN,NAN,NAN,2020
바른테크놀로지,029480,"1,500",NAN,NAN,NAN,2020
부스타,008470,"4,905",NAN,NAN,NAN,2020
비즈니스온,138580,"14,050",NAN,NAN,NAN,2020
비트컴퓨터,032850,"11,050",NAN,NAN,4.62,2020
사람인에이치알,143240,"22,400",13.06,2.09,2.81,2020
삼륭물산,014970,"9,700",NAN,NAN,NAN,2020
삼양옵틱스,225190,"9,030",NAN,NAN,NAN,2020
삼영이엔씨,065570,"7,740",NAN,NAN,NAN,2020
삼일,032280,"1,865",NAN,NAN,NAN,2020
삼일기업공사,002290,"3,145",NAN,NAN,NAN,2020
삼지전자,037460,"11,650",NAN,NAN,NAN,2020
삼진,032750,"9,290",NAN,NAN,NAN,2020
삼화네트웍스,046390,"1,455",NAN,NAN,NAN,2020
상보,027580,"1,230",NAN,NAN,NAN,2020
상신이디피,091580,"13,300",13.92,2.28,1.16,2020
서린바이오,038070,"12,250",NAN,NAN,NAN,2020
서울바이오시스,092190,"19,800",46.2,3.3,1.7,2020
서호전기,065710,"23,050",NAN,NAN,NAN,2020
성우하이텍,015750,"3,350",NAN,NAN,NAN,2020
세경하이테크,148150,"23,400",20.96,1.94,1.03,2020
세명전기,017510,"3,850",NAN,NAN,NAN,2020
셀바스AI,108860,"2,700",NAN,NAN,NAN,2020
손오공,066910,"1,700",NAN,NAN,NAN,2020
솔루에타,154040,"3,110",NAN,NAN,NAN,2020
수성,084180,"1,265",NAN,NAN,NAN,2020
슈프리마,236200,"31,100",NAN,NAN,2.94,2020
스튜디오드래곤,253450,"84,000",54.25,5.0,4.35,2020
신라에스지,025870,"8,600",NAN,NAN,NAN,2020
신라젠,215600,"12,100",NAN,NAN,NAN,2020
신영스팩5호,323280,"2,045",NAN,NAN,NAN,2020
신한제6호스팩,333050,"2,005",NAN,NAN,NAN,2020
아가방컴퍼니,013990,"2,575",NAN,NAN,NAN,2020
아래스,050320,990,NAN,NAN,NAN,2020
아모텍,052710,"29,850",145.41,1.44,1.27,2020
아미코젠,092040,"46,500",NAN,NAN,NAN,2020
아이에이,038880,573,NAN,NAN,NAN,2020
아이에이네트웍스,123010,"1,560",NAN,NAN,NAN,2020
아이오케이,078860,"1,915",NAN,NAN,NAN,2020
아이톡시,052770,"4,460",NAN,NAN,NAN,2020
액트로,290740,"11,650",NAN,NAN,NAN,2020
에스모,073070,407,NAN,NAN,NAN,2020
에스에스알,275630,"5,400",NAN,NAN,NAN,2020
에스제이그룹,306040,"15,600",8.65,1.77,1.29,2020
에스제이케이,080440,498,NAN,NAN,NAN,2020
에스티팜,237690,"73,000",-349.2,4.53,10.49,2020
에이씨티,138360,"4,480",NAN,NAN,NAN,2020
에이프런티어,036180,"1,205",NAN,NAN,NAN,2020
에프알텍,073540,"6,290",NAN,NAN,NAN,2020
에프에스티,036810,"22,900",NAN,NAN,2.91,2020
엑스큐어,070300,"4,810",NAN,NAN,NAN,2020
엔시트론,101400,"1,075",NAN,NAN,NAN,2020
엔에이치스팩14호,319400,"2,010",NAN,NAN,NAN,2020
영신금속,007530,"1,945",NAN,NAN,NAN,2020
예림당,036000,"2,395",NAN,NAN,NAN,2020
오르비텍,046120,"3,075",NAN,NAN,NAN,2020
오성첨단소재,052420,"2,390",NAN,NAN,NAN,2020
오션브릿지,241790,"15,550",NAN,NAN,NAN,2020
우리손에프앤지,073560,"2,085",NAN,NAN,NAN,2020
우수AMS,066590,"7,300",NAN,NAN,NAN,2020
원일특강,012620,"8,800",NAN,NAN,NAN,2020
위더스제약,330350,"21,750",23.9,2.49,3.65,2020
윈하이텍,192390,"3,010",NAN,NAN,NAN,2020
윌링스,313760,"16,350",NAN,NAN,NAN,2020
유바이오로직스,206650,"23,050",NAN,NAN,NAN,2020
유안타제6호스팩,340360,"1,995",NAN,NAN,NAN,2020
육일씨엔에쓰,191410,"3,730",NAN,NAN,NAN,2020
이글루시큐리티,067920,"4,680",NAN,NAN,NAN,2020
이글벳,044960,"8,240",NAN,NAN,NAN,2020
이녹스,088390,"8,090",NAN,NAN,NAN,2020
이랜시스,264850,"2,220",NAN,NAN,NAN,2020
이에스에이,052190,295,NAN,NAN,NAN,2020
이엠앤아이,083470,"1,585",NAN,NAN,NAN,2020
이엠텍,091120,"11,950",24.93,1.03,0.74,2020
이원컴포텍,088290,"9,620",NAN,NAN,NAN,2020
이즈미디어,181340,"4,020",NAN,NAN,NAN,2020
이지케어텍,099750,"19,750",-126.12,3.04,1.95,2020
인선이엔티,060150,"9,390",12.22,1.53,1.79,2020
인포마크,175140,"5,820",NAN,NAN,NAN,2020
인포바인,115310,"17,650",NAN,NAN,NAN,2020
인포뱅크,039290,"7,850",NAN,NAN,NAN,2020
잉크테크,049550,"3,085",NAN,NAN,NAN,2020
장원테크,174880,"3,360",NAN,NAN,NAN,2020
전진바이오팜,110020,"12,900",NAN,NAN,NAN,2020
정다운,208140,"2,255",NAN,NAN,NAN,2020
제놀루션,225220,"31,050",NAN,NAN,NAN,2020
제이스텍,090470,"7,940",NAN,NAN,NAN,2020
제일바이오,052670,"7,710",NAN,NAN,NAN,2020
젬백스지오,041590,688,NAN,NAN,NAN,2020
줌인터넷,239340,"6,040",NAN,5.78,6.74,2020
지니뮤직,043610,"4,110",NAN,NAN,NAN,2020
지니언스,263860,"5,220",NAN,NAN,NAN,2020
지란지교시큐리티,208350,"5,730",NAN,NAN,NAN,2020
지스마트글로벌,114570,620,NAN,NAN,NAN,2020
참좋은여행,094850,"5,250",NAN,NAN,NAN,2020
천보,278280,"173,400",65.43,7.36,10.57,2020
컴투스,078340,"113,500",12.46,1.43,2.84,2020
케이비제19호스팩,330990,"2,015",NAN,NAN,NAN,2020
케이씨피드,025880,"2,030",NAN,NAN,NAN,2020
케이엔더블유,105330,"8,100",NAN,NAN,NAN,2020
코데즈컴바인,047770,"2,360",NAN,NAN,NAN,2020
코메론,049430,"9,040",NAN,NAN,NAN,2020
코미팜,041960,"12,850",NAN,NAN,NAN,2020
코아시아,045970,"8,900",NAN,NAN,NAN,2020
코오롱생명과학,102940,"30,850",NAN,NAN,NAN,2020
코웰패션,033290,"6,110",8.72,1.79,1.23,2020
코위버,056360,"9,990",NAN,NAN,NAN,2020
콜마비앤에이치,200130,"60,400",19.67,5.22,2.91,2020
큐브엔터,182360,"4,065",NAN,NAN,NAN,2020
크로바하이텍,043590,"1,490",NAN,NAN,NAN,2020
크리스탈지노믹스,083790,"17,800",NAN,NAN,NAN,2020
클리오,237880,"16,600",27.08,1.87,1.16,2020
키움제5호스팩,311270,"2,010",NAN,NAN,NAN,2020
테고사이언스,191420,"28,850",NAN,NAN,23.33,2020
테라사이언스,073640,"2,170",NAN,NAN,NAN,2020
테스나,131970,"44,300",NAN,NAN,NAN,2020
티에스아이,277880,"14,900",22.32,2.64,1.66,2020
파루,043200,"2,725",NAN,NAN,NAN,2020
파멥신,208340,"21,500",NAN,NAN,NAN,2020
파수,150900,"6,560",22.51,NAN,1.56,2020
파워로직스,047310,"7,080",243.7,1.02,0.26,2020
파인디지털,038950,"5,830",NAN,NAN,NAN,2020
팬엔터테인먼트,068050,"8,570",47.11,2.87,4.19,2020
펄어비스,263750,"192,300",16.6,3.37,4.77,2020
펌텍코리아,251970,"15,050",NAN,NAN,0.87,2020
풍강,093380,"3,080",NAN,NAN,NAN,2020
플레이디,237820,"9,080",NAN,NAN,NAN,2020
피에스텍,002230,"4,180",NAN,NAN,NAN,2020
핌스,347770,"16,350",3.13,NAN,0.53,2020
하나마이크론,067310,"8,200",5.44,NAN,0.43,2020
한국경제TV,039340,"5,130",6.28,0.86,1.33,2020
한국바이오젠,318000,"7,920",NAN,NAN,NAN,2020
한국비엔씨,256840,"4,480",NAN,NAN,NAN,2020
한국아트라스비엑스,023890,"50,800",7.43,1.08,0.71,2020
한국알콜,017890,"14,150",NAN,NAN,NAN,2020
한국정보인증,053300,"7,740",NAN,NAN,NAN,2020
한국정보통신,025770,"8,700",NAN,NAN,NAN,2020
한국팩키지,037230,"5,200",NAN,NAN,NAN,2020
한글과컴퓨터,030520,"18,850",8.17,1.18,1.09,2020
한일단조,024740,"2,000",NAN,NAN,NAN,2020
한컴위드,054920,"4,570",NAN,NAN,NAN,2020
한탑,002680,"1,990",NAN,NAN,NAN,2020
현진소재,053660,400,NAN,NAN,NAN,2020
형지I&C,011080,"1,075",NAN,NAN,NAN,2020
휴네시온,290270,"5,550",14.81,NAN,2.27,2020
휴맥스홀딩스,028080,"3,440",NAN,NAN,NAN,2020
흥국에프엔비,189980,"1,490",NAN,NAN,NAN,2020
DB금융스팩7호,322780,"2,000",NAN,NAN,NAN,2020
EMW,079190,"2,780",NAN,NAN,NAN,2020
IBKS제10호스팩,299170,"2,010",NAN,NAN,NAN,2020
JTC,950170,"3,900",-8.08,0.56,0.24,2020
KCC건설,021320,"7,050",NAN,NAN,NAN,2020
KCI,036670,"10,800",NAN,NAN,NAN,2020
KD,044180,495,NAN,NAN,NAN,2020
KG ETS,151860,"4,240",NAN,NAN,NAN,2020
KG모빌리언스,046440,"10,050",10.7,1.16,1.04,2020
KMH,122450,"13,350",NAN,NAN,NAN,2020
NEW,160550,"3,910",41.97,0.88,0.77,2020
